"OriginalUrl","Sources","Category","NormalizedCloneUrl","DiscoveryMethods","AuditStatus"
"https://gitee.com/gao-fuchang/GatherV3","往届冠军开源项目.docx","Repository","https://gitee.com/gao-fuchang/GatherV3.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/gao-fuchang/s6-groupnorm","往届冠军开源项目.docx","Repository","https://gitee.com/gao-fuchang/s6-groupnorm.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/guo-guotong/ascend-developer-competition/tree/master/","往届冠军开源项目.docx","Repository","https://gitee.com/guo-guotong/ascend-developer-competition.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/h_y_bb/s5-ascend/tree/master/GatherV3","往届冠军开源项目.docx","Repository","https://gitee.com/h_y_bb/s5-ascend.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/ieu-space/fractional-max-pool3-dgrad","往届冠军开源项目.docx","Repository","https://gitee.com/ieu-space/fractional-max-pool3-dgrad.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/jinjinshuhua/competition-archive","往届冠军开源项目.docx","Repository","https://gitee.com/jinjinshuhua/competition-archive.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/justmemb/s5","往届冠军开源项目.docx","Repository","https://gitee.com/justmemb/s5.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/kinnnnnnn/gcd_out","往届冠军开源项目.docx","Repository","https://gitee.com/kinnnnnnn/gcd_out.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/lijie1001/glu-jvp","往届冠军开源项目.docx","Repository","https://gitee.com/lijie1001/glu-jvp.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/miracleqiji/Ascend_C_2024","往届冠军开源项目.docx","Repository","https://gitee.com/miracleqiji/Ascend_C_2024.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/miracleqiji/Ascend_C_S4","往届冠军开源项目.docx","Repository","https://gitee.com/miracleqiji/Ascend_C_S4.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/miracleqiji/Ascend_C_S5","往届冠军开源项目.docx","Repository","https://gitee.com/miracleqiji/Ascend_C_S5.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/miracleqiji/Ascend_C_S6/tree/master/","往届冠军开源项目.docx","Repository","https://gitee.com/miracleqiji/Ascend_C_S6.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/Nicet/no-one-ascend-coperator-s4","往届冠军开源项目.docx","Repository","https://gitee.com/Nicet/no-one-ascend-coperator-s4.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/Nicet/npu-iil-stars-final","往届冠军开源项目.docx","Repository","https://gitee.com/Nicet/npu-iil-stars-final.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/Nicet/s5-code","往届冠军开源项目.docx","Repository","https://gitee.com/Nicet/s5-code.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/Nicet/s6-code","往届冠军开源项目.docx","Repository","https://gitee.com/Nicet/s6-code.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/noninfinity/ascend-c-s4-performance.git","往届冠军开源项目.docx","Repository","https://gitee.com/noninfinity/ascend-c-s4-performance.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/noninfinity/s6","往届冠军开源项目.docx","Repository","https://gitee.com/noninfinity/s6.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/nxd3/Ascend-AI-Operator-Challenge-S4-Challenge-Code","往届冠军开源项目.docx","Repository","https://gitee.com/nxd3/Ascend-AI-Operator-Challenge-S4-Challenge-Code.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/rezxc/ascend-c_-s6","往届冠军开源项目.docx","Repository","https://gitee.com/rezxc/ascend-c_-s6.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/sun_jie001/champion","往届冠军开源项目.docx","Repository","https://gitee.com/sun_jie001/champion.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/sun_jie001/s4","往届冠军开源项目.docx","Repository","https://gitee.com/sun_jie001/s4.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/syn006/s4/tree/master/s5","往届冠军开源项目.docx","Repository","https://gitee.com/syn006/s4.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/timmy2015/2024-Annual-Championship-Finals-Ascend-C","往届冠军开源项目.docx","Repository","https://gitee.com/timmy2015/2024-Annual-Championship-Finals-Ascend-C.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/timmy2015/s6-ascend-c","往届冠军开源项目.docx","Repository","https://gitee.com/timmy2015/s6-ascend-c.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/vexlife/ascendc_s4","往届冠军开源项目.docx","Repository","https://gitee.com/vexlife/ascendc_s4.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/wang-shuai2395/us5/tree/master","往届冠军开源项目.docx","Repository","https://gitee.com/wang-shuai2395/us5.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/wang-shuai2395/us6","往届冠军开源项目.docx","Repository","https://gitee.com/wang-shuai2395/us6.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/wenyidylan/ascend-c_ops_-s6","往届冠军开源项目.docx","Repository","https://gitee.com/wenyidylan/ascend-c_ops_-s6.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/wenyidylan/AscendC-2024final","往届冠军开源项目.docx","Repository","https://gitee.com/wenyidylan/AscendC-2024final.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/wenyidylan/AscendC-S4","往届冠军开源项目.docx","Repository","https://gitee.com/wenyidylan/AscendC-S4.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/xiao-xunpeng/cann-ops-s6-challenge","往届冠军开源项目.docx","Repository","https://gitee.com/xiao-xunpeng/cann-ops-s6-challenge.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/xiao-xunpeng/s6-basic-operator","往届冠军开源项目.docx","Repository","https://gitee.com/xiao-xunpeng/s6-basic-operator.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/xiao-xunpeng/s6-challenge-operator","往届冠军开源项目.docx","Repository","https://gitee.com/xiao-xunpeng/s6-challenge-operator.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/xingke2021/Operator-S5-Base/","往届冠军开源项目.docx","Repository","https://gitee.com/xingke2021/Operator-S5-Base.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/xingke2021/Operator-S6-Base/","往届冠军开源项目.docx","Repository","https://gitee.com/xingke2021/Operator-S6-Base.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/y-py014/AscendC-2024Final","往届冠军开源项目.docx","Repository","https://gitee.com/y-py014/AscendC-2024Final.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/y-py014/AscendC-S4","往届冠军开源项目.docx","Repository","https://gitee.com/y-py014/AscendC-S4.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/y-py014/AscendC-S5/","往届冠军开源项目.docx","Repository","https://gitee.com/y-py014/AscendC-S5.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/yellow-fitness/arg-min","往届冠军开源项目.docx","Repository","https://gitee.com/yellow-fitness/arg-min.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/yellow-fitness/log-sum-exponent-reduction","往届冠军开源项目.docx","Repository","https://gitee.com/yellow-fitness/log-sum-exponent-reduction.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/yolo_mic/ascend-cs6","往届冠军开源项目.docx","Repository","https://gitee.com/yolo_mic/ascend-cs6.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/znynn/2024-championship-tournament/tree/master/","往届冠军开源项目.docx","Repository","https://gitee.com/znynn/2024-championship-tournament.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/znynn/gdufs-s4-basic-performance-operators","往届冠军开源项目.docx","Repository","https://gitee.com/znynn/gdufs-s4-basic-performance-operators.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/znynn/s5basicoperator/tree/master/FresnelCosGoldenSample/_zip","往届冠军开源项目.docx","Repository","https://gitee.com/znynn/s5basicoperator.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/znynn/s6basicopeator/tree/master/GroupNorm","往届冠军开源项目.docx","Repository","https://gitee.com/znynn/s6basicopeator.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://gitee.com/zzh-stable/ascend-s4","往届冠军开源项目.docx","Repository","https://gitee.com/zzh-stable/ascend-s4.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://github.com/2044145178/AscendC_S4#","往届冠军开源项目.docx","Repository","https://github.com/2044145178/AscendC_S4.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://github.com/2044145178/AscendC_S5","往届冠军开源项目.docx","Repository","https://github.com/2044145178/AscendC_S5.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://github.com/ascend-124/s4","往届冠军开源项目.docx","Repository","https://github.com/ascend-124/s4.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://github.com/ascend-124/s5","往届冠军开源项目.docx","Repository","https://github.com/ascend-124/s5.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://github.com/ascend-124/s6","往届冠军开源项目.docx","Repository","https://github.com/ascend-124/s6.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://github.com/asfsdsf/AscendC-S6","往届冠军开源项目.docx","Repository","https://github.com/asfsdsf/AscendC-S6.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://github.com/Brown-Bert/S4.git","往届冠军开源项目.docx","Repository","https://github.com/Brown-Bert/S4.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://github.com/Brown-Bert/S5","往届冠军开源项目.docx","Repository","https://github.com/Brown-Bert/S5.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://github.com/bubu-12/Ascendc-S4","往届冠军开源项目.docx","Repository","https://github.com/bubu-12/Ascendc-S4.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://github.com/bubu-12/Ascendc-S5","往届冠军开源项目.docx","Repository","https://github.com/bubu-12/Ascendc-S5.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://github.com/Cishoon/AscendC-S4-Basic","往届冠军开源项目.docx","Repository","https://github.com/Cishoon/AscendC-S4-Basic.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://github.com/clamee/-AI---","往届冠军开源项目.docx","Repository","https://github.com/clamee/-AI---.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://github.com/clamee/s6-Hypot","往届冠军开源项目.docx","Repository","https://github.com/clamee/s6-Hypot.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://github.com/DanceToBurning/Ascend-S6-/tree/main","往届冠军开源项目.docx","Repository","https://github.com/DanceToBurning/Ascend-S6-.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://github.com/halfstark/ascend-s5","往届冠军开源项目.docx","Repository","https://github.com/halfstark/ascend-s5.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://github.com/JackSimbol02/CANN-Comp","往届冠军开源项目.docx","Repository","https://github.com/JackSimbol02/CANN-Comp.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://github.com/KaranocaVe/AscendC-S6","往届冠军开源项目.docx","Repository","https://github.com/KaranocaVe/AscendC-S6.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://github.com/kgcyyds/S4.git","往届冠军开源项目.docx","Repository","https://github.com/kgcyyds/S4.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://github.com/kgcyyds/S5_HustAga.git","往届冠军开源项目.docx","Repository","https://github.com/kgcyyds/S5_HustAga.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://github.com/kgcyyds/S6.git","往届冠军开源项目.docx","Repository","https://github.com/kgcyyds/S6.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://github.com/linnlh/ascendc-2024-final","往届冠军开源项目.docx","Repository","https://github.com/linnlh/ascendc-2024-final.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://github.com/meaningfuI/Ascend-S5","往届冠军开源项目.docx","Repository","https://github.com/meaningfuI/Ascend-S5.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://github.com/MiracleDrawer/Ascend_S4","往届冠军开源项目.docx","Repository","https://github.com/MiracleDrawer/Ascend_S4.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://github.com/pytorch/pytorch/blob/main/aten/src/ATen/native/RNN.cpp","S6基础性能赛题_01.xlsx","Specification","","artifact-tool workbook inspection","Pending merge with retrieval results"
"https://github.com/Qeeweew/AscendC-2025-5-23","往届冠军开源项目.docx","Repository","https://github.com/Qeeweew/AscendC-2025-5-23.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://github.com/Qeeweew/AscendC-S4","往届冠军开源项目.docx","Repository","https://github.com/Qeeweew/AscendC-S4.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://github.com/Qeeweew/AscendC-S5-GluJvp","往届冠军开源项目.docx","Repository","https://github.com/Qeeweew/AscendC-S5-GluJvp.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://github.com/Qeeweew/AscendC-S6-Logcumsumexp","往届冠军开源项目.docx","Repository","https://github.com/Qeeweew/AscendC-S6-Logcumsumexp.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://github.com/Rotaeno/Pows","往届冠军开源项目.docx","Repository","https://github.com/Rotaeno/Pows.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://github.com/rura-t/AscendOps","往届冠军开源项目.docx","Repository","https://github.com/rura-t/AscendOps.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://github.com/ShwStone/Ascend-S5","往届冠军开源项目.docx","Repository","https://github.com/ShwStone/Ascend-S5.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://github.com/sunkafei/ascend-operator-challenge-final","往届冠军开源项目.docx","Repository","https://github.com/sunkafei/ascend-operator-challenge-final.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://github.com/T1z1anXXX/champion2024-ascend-oprator","往届冠军开源项目.docx","Repository","https://github.com/T1z1anXXX/champion2024-ascend-oprator.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://github.com/tangyhang/ascend--challenge-2024","往届冠军开源项目.docx","Repository","https://github.com/tangyhang/ascend--challenge-2024.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://github.com/ustc1587/ReduceLogSumExp","往届冠军开源项目.docx","Repository","https://github.com/ustc1587/ReduceLogSumExp.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://github.com/wilburx813/ascend_s4","往届冠军开源项目.docx","Repository","https://github.com/wilburx813/ascend_s4.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://github.com/winfan1314/AscendC-ops-24Final-Tangefly.git","往届冠军开源项目.docx","Repository","https://github.com/winfan1314/AscendC-ops-24Final-Tangefly.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://github.com/winfan1314/AscendC-S4-Base.git","往届冠军开源项目.docx","Repository","https://github.com/winfan1314/AscendC-S4-Base.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://github.com/wybxw/Ascend_ops_Base_S6","往届冠军开源项目.docx","Repository","https://github.com/wybxw/Ascend_ops_Base_S6.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://github.com/wybxw/Ascend_ops_Performance_S6","往届冠军开源项目.docx","Repository","https://github.com/wybxw/Ascend_ops_Performance_S6.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://github.com/XKevin63/ascendC-S4-Base","往届冠军开源项目.docx","Repository","https://github.com/XKevin63/ascendC-S4-Base.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://github.com/xxxkkw/Ascend-AI-Innovation-Operator-Challenge-S4-Season","往届冠军开源项目.docx","Repository","https://github.com/xxxkkw/Ascend-AI-Innovation-Operator-Challenge-S4-Season.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://github.com/yuntaoyulong/-S5-/","往届冠军开源项目.docx","Repository","https://github.com/yuntaoyulong/-S5-.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://github.com/zzh-stable/ascend-s5","往届冠军开源项目.docx","Repository","https://github.com/zzh-stable/ascend-s5.git","Visible text / S9 workbook","Pending merge with retrieval results"
"https://obs-9be7.obs.cn-east-2.myhuaweicloud.com/resource/s4%E6%96%87%E6%A1%A3/zip_op.sh","评分规则.docx；提交说明文档.docx","SubmissionTool","","Word HYPERLINK field","Pending merge with retrieval results"
