"Index","Sources","Category","OriginalUrl","ArchiveFile","Status","HttpStatus","FinalUrl","Title","Bytes","RetrievedAt","Seconds","Message"
"19","S6挑战性能赛题_01.xlsx","Specification","https://docs.pytorch.org/docs/2.5/generated/torch.logcumsumexp.html#torch-logcumsumexp","S019.html","Archived","200","https://docs.pytorch.org/docs/2.5/generated/torch.logcumsumexp.html#torch-logcumsumexp","torch.logcumsumexp — PyTorch 2.5 documentation","52347","2026-07-25 15:16:13","2",""
"20","S6挑战性能赛题_01.xlsx","Specification","https://docs.pytorch.org/docs/2.5/generated/torch.nn.FractionalMaxPool3d.html#fractionalmaxpool3d","S020.html","Archived","200","https://docs.pytorch.org/docs/2.5/generated/torch.nn.FractionalMaxPool3d.html#fractionalmaxpool3d","FractionalMaxPool3d — PyTorch 2.5 documentation","76971","2026-07-25 15:16:12","1",""
"21","S6基础性能赛题_01.xlsx","Specification","https://docs.pytorch.org/docs/2.5/generated/torch.nn.GroupNorm.html#torch.nn.GroupNorm","S021.html","Archived","200","https://docs.pytorch.org/docs/2.5/generated/torch.nn.GroupNorm.html#torch.nn.GroupNorm","GroupNorm — PyTorch 2.5 documentation","59288","2026-07-25 15:16:13","2",""
"22","S6基础性能赛题_01.xlsx","Specification","https://docs.pytorch.org/docs/2.5/generated/torch.Tensor.expand.html","S022.html","Archived","200","https://docs.pytorch.org/docs/2.5/generated/torch.Tensor.expand.html","torch.Tensor.expand — PyTorch 2.5 documentation","48585","2026-07-25 15:16:12","0.8",""
"23","S6基础性能赛题_01.xlsx","Specification","https://docs.pytorch.org/docs/stable/generated/torch.nn.LSTM.html#torch.nn.LSTM","S023.html","Archived","200","https://docs.pytorch.org/docs/stable/generated/torch.nn.LSTM.html#torch.nn.LSTM","Redirecting…","1738","2026-07-25 15:16:12","0.6",""
"24","S5基础性能赛题_01.xlsx","Specification","https://docs.scipy.org/doc/scipy/reference/generated/scipy.special.fresnel.html#scipy.special.fresnel","S024.html","Archived","200","https://docs.scipy.org/doc/scipy/reference/generated/scipy.special.fresnel.html#scipy.special.fresnel","scipy.special.fresnel — SciPy v1.18.0 Manual","32871","2026-07-25 15:16:13","1.3",""
"25","算子挑战赛（S9赛季）云资源代金券申请指南.pdf","VoucherPage","https://edu.hicomputing.huawei.com/","S025.html","Archived","200","https://edu.hicomputing.huawei.com/","鲲鹏&昇腾教育科研平台","350752","2026-07-25 15:16:17","5.3",""
"26","算子挑战赛（S9赛季）云资源代金券申请指南.pdf","VoucherPage","https://edu.hicomputing.huawei.com/teaching/voucher-details/invite/202603273nttxWIz","S026.html","Archived","200","https://edu.hicomputing.huawei.com/teaching/voucher-details/invite/202603273nttxWIz","入班申请-鲲鹏&昇腾教育科研平台","86962","2026-07-25 15:16:15","2.9",""
"27","S6基础性能赛题_01.xlsx","Specification","https://github.com/pytorch/pytorch/blob/main/aten/src/ATen/native/RNN.cpp","S027.html","Archived","200","https://github.com/pytorch/pytorch/blob/main/aten/src/ATen/native/RNN.cpp","pytorch/aten/src/ATen/native/RNN.cpp at main · pytorch/pytorch · GitHub","951662","2026-07-25 15:16:16","3.8",""
"28","评分规则.docx；提交说明文档.docx","SubmissionTool","https://obs-9be7.obs.cn-east-2.myhuaweicloud.com/resource/s4%E6%96%87%E6%A1%A3/zip_op.sh","S028.html","Archived","200","https://obs-9be7.obs.cn-east-2.myhuaweicloud.com/resource/s4%E6%96%87%E6%A1%A3/zip_op.sh","","423","2026-07-25 15:16:15","3.1",""
"29","S4基础性能赛题_01.xlsx","Specification","https://pytorch.ac.cn/docs/stable/generated/torch.nn.functional.rms_norm.html#torch.nn.functional.rms_norm","S029.html","Failed","","","","0","2026-07-25 15:16:14","1","Operation is not valid due to the current state of the object."
"30","S4基础性能赛题_01.xlsx","Specification","https://pytorch.ac.cn/docs/stable/generated/torch.pow.html","S030.html","Failed","","","","0","2026-07-25 15:16:14","1.3","Operation is not valid due to the current state of the object."
"31","S4基础性能赛题_01.xlsx","Specification","https://pytorch.org/docs/2.1/generated/torch.reshape.html#torch.reshape","S031.html","Archived","200","https://docs.pytorch.org/docs/2.1/generated/torch.reshape.html#torch.reshape","torch.reshape — PyTorch 2.1 documentation","43677","2026-07-25 15:16:17","3.9",""
"32","S4挑战性能赛题_01.xlsx","Specification","https://pytorch.org/docs/2.1/generated/torch.Tensor.scatter_reduce_.html#torch.Tensor.scatter_reduce_","S032.html","Archived","200","https://docs.pytorch.org/docs/2.1/generated/torch.Tensor.scatter_reduce_.html#torch.Tensor.scatter_reduce_","torch.Tensor.scatter_reduce_ — PyTorch 2.1 documentation","53221","2026-07-25 15:16:16","2.5",""
"33","S4挑战性能赛题_01.xlsx","Specification","https://pytorch.org/docs/stable/generated/torch.eye.html","S033.html","Archived","200","https://docs.pytorch.org/docs/stable/generated/torch.eye.html","Redirecting…","1718","2026-07-25 15:16:15","1.1",""
"34","S4挑战性能赛题_01.xlsx","Specification","https://pytorch.org/docs/stable/generated/torch.heaviside.html#","S034.html","Archived","200","https://docs.pytorch.org/docs/stable/generated/torch.heaviside.html#","Redirecting…","1748","2026-07-25 15:16:16","2.1",""
"35","S4挑战性能赛题_01.xlsx","Specification","https://pytorch.org/docs/stable/generated/torch.linalg.solve_ex.html","S035.html","Archived","200","https://docs.pytorch.org/docs/stable/generated/torch.linalg.solve_ex.html","Redirecting…","1778","2026-07-25 15:16:19","3.8",""
"36","S4挑战性能赛题_01.xlsx","Specification","https://pytorch.org/docs/stable/generated/torch.matmul.html","S036.html","Archived","200","https://docs.pytorch.org/docs/stable/generated/torch.matmul.html","Redirecting…","1733","2026-07-25 15:16:17","2.3",""
"37","S4基础性能赛题_01.xlsx","Specification","https://tensorflow.google.cn/api_docs/python/tf/gather","S037.html","Archived","200","https://tensorflow.google.cn/api_docs/python/tf/gather","tf.gather  |  TensorFlow v2.16.1","1225532","2026-07-25 15:16:18","2.4",""
"38","S5基础性能赛题_01.xlsx","Specification","https://tensorflow.google.cn/api_docs/python/tf/gather?hl=en","S038.html","Archived","200","https://tensorflow.google.cn/api_docs/python/tf/gather?hl=en","tf.gather  |  TensorFlow v2.16.1","1225527","2026-07-25 15:16:19","3",""
"39","S4基础性能赛题_01.xlsx","Specification","https://tensorflow.google.cn/api_docs/python/tf/raw_ops/SelectV2","S039.html","Archived","200","https://tensorflow.google.cn/api_docs/python/tf/raw_ops/SelectV2","tf.raw_ops.SelectV2  |  TensorFlow v2.16.1","1174786","2026-07-25 15:16:19","3.2",""
"40","评分规则.docx；提交说明文档.docx","ContestPage","https://www.hiascend.com/developer/contests/details/_blank","S040.html","Archived","200","https://www.hiascend.com/developer/contests/details/_blank","昇腾社区","112226","2026-07-25 15:16:22","6.1",""
"41","往届冠军开源项目.docx","ContestPage","https://www.hiascend.com/developer/contests/details/201bfd6701c14f3bb40ae53e11abd6e8","S041.html","Archived","200","https://www.hiascend.com/developer/contests/details/201bfd6701c14f3bb40ae53e11abd6e8","昇腾社区","112357","2026-07-25 15:16:21","3.5",""
"42","往届冠军开源项目.docx","ContestPage","https://www.hiascend.com/developer/contests/details/4252afe2506e4f6eaa5cdf6696afadbf","S042.html","Archived","200","https://www.hiascend.com/developer/contests/details/4252afe2506e4f6eaa5cdf6696afadbf","昇腾社区","112309","2026-07-25 15:16:20","2.7",""
"43","往届冠军开源项目.docx","CommunityPage","https://www.hiascend.com/developer/group/01102182523402175016/_blank","S043.html","Archived","200","https://www.hiascend.com/developer/group/01102182523402175016/_blank","圈子 - 互动交流 · 资源共享 · 赛事活动资讯 - 昇腾AI开发者聚集地 | 昇腾论坛","99991","2026-07-25 15:16:22","4.5",""
"44","S5基础性能赛题_01.xlsx","Specification","https://www.hiascend.com/document/detail/zh/CANNCommunityEdition/82RC1alpha002/API/aolapi/context/aclnnGroupedMatmulV4.md","S044.html","Archived","200","https://www.hiascend.com/document/detail/zh/CANNCommunityEdition/82RC1alpha002/API/aolapi/context/aclnnGroupedMatmulV4.md","aclnnGroupedMatmulV4（代码开放）-融合算子接口-AOL算子加速库接口-API-CANN社区版8.2.RC1.alpha002开发文档-昇腾社区","345209","2026-07-25 15:16:26","8.1",""
"45","华为云Ascend C算子开发环境搭建手册.docx","WebPage","https://www.huaweicloud.com/product/modelarts.html","S045.html","Archived","200","https://www.huaweicloud.com/product/modelarts.html","AI开发平台_ModelArts_AI智能开放平台_人工智能平台_机器学习-华为云","115249","2026-07-25 15:16:21","2.3",""
